#,id,created,deleted,last_updated,uuid_str,bbs_code,name_bn,name_en,created_by_id,updated_by_id,upazila_id,weight
1,1,2020-06-03 17:32:31,false,2020-06-03 17:32:31,31c5d032-f670-4dff-9823-9b2a78d93442,20,আমতলী পৌরসভা,Amtali pourasabha,,,1,0
2,2,2020-06-03 17:32:33,false,2020-06-03 17:32:33,fc4bb917-4f20-4114-8d37-4a58cdc3231e,40,বরগুনা পৌরসভা,Barguna pourasabha,,,3,0
3,3,2020-06-03 17:32:34,false,2020-06-03 17:32:34,37dbbf76-54f2-45ee-9e02-04e4c325433b,60,বেতাগী পৌরসভা,Betagi pourasabha,,,4,0
4,4,2020-06-03 17:32:35,false,2020-06-03 17:32:35,fe202313-2f5f-47b8-af38-cb29c90a02e7,80,পাথরঘাটা পৌরসভা,Patharghata pourasabha,,,5,0
5,5,2020-06-03 17:32:37,false,2020-06-03 17:32:37,dc7f9141-7810-4479-b6ea-b0a387cd96e6,16,বাকেরগঞ্জ পৌরসভা,Bakerganj pourasabha,,,9,0
6,6,2020-06-03 17:32:39,false,2020-06-03 17:32:39,201bf1a4-9f64-4caf-b549-b3cec15aa487,33,বানারিপাড়া পৌরসভা,Banari para pourasabha,,,563,0
7,7,2020-06-03 17:32:40,false,2020-06-03 17:32:40,bc9c517e-d782-4f79-80c6-7ec063d1fcaa,67,গৌরনদী পৌরসভা,Gaurnadi pourasabha,,,11,0
8,8,2020-06-03 17:32:42,false,2020-06-03 17:32:42,ac2f28d6-68b4-4056-8abf-1d9fe5d53384,83,মেহেন্দিগঞ্জ পৌরসভা,Mehendiganj pourasabha,,,14,0
9,9,2020-06-03 17:32:43,false,2020-06-03 17:32:43,6461a9b4-6280-4901-bdba-e4018e13cf1a,87,মুলাদি পৌরসভা,Muladi pourasabha,,,15,0
10,10,2020-06-03 17:32:44,false,2020-06-03 17:32:44,9e436620-aaf5-4124-80a6-cc5a0eb98157,89,উজিরপুর পৌরসভা,Ujirpur pourasabha,,,16,0
11,11,2020-06-03 17:32:48,false,2020-06-03 17:32:48,81c65cba-29f6-4b61-a6fb-8b725464b9a9,16,ভোলা পৌরসভা,Bhola pourasabha,,,17,0
12,12,2020-06-03 17:32:49,false,2020-06-03 17:32:49,835e2dae-54b9-4ae1-8fa7-efe20516e817,33,বোরহানউদ্দিন পৌরসভা,Borhanuddin pourasabha,,,18,0
13,13,2020-06-03 17:32:51,false,2020-06-03 17:32:51,e495fdf7-6fc4-47c3-b2e1-704affa26e5d,50,চরফ্যাশন পৌরসভা,Charfasson pourasabha,,,492,0
14,14,2020-06-03 17:32:52,false,2020-06-03 17:32:52,a0fe10d6-7da6-403a-8e2d-cb935af1017f,67,দৌলতখান পৌরসভা,Daulatkhan pourasabha,,,19,0
15,15,2020-06-03 17:32:53,false,2020-06-03 17:32:53,10434d56-acc8-4966-9d92-1eaa152252c7,83,লালমোহন পৌরসভা,Lalmohan pourasabha,,,20,0
16,16,2020-06-03 17:32:55,false,2020-06-03 17:32:55,e8a35b20-adf3-46c0-8413-3f8fb3254c1f,33,ঝালকাঠি পৌরসভা,Jhalokathi pourasabha,,,23,0
17,17,2020-06-03 17:32:57,false,2020-06-03 17:32:57,d5d6ce0d-df89-4c8b-9218-2c2aacfe612d,66,নলছিটি পৌরসভা,Nalchhity pourasabha,,,24,0
18,18,2020-06-03 17:32:58,false,2020-06-03 17:32:58,d9088ac4-c254-435e-a905-cb4593ed0dad,16,বাউফল পৌরসভা,Bauphal pourasabha,,,26,0
19,19,2020-06-03 17:33:01,false,2020-06-03 17:33:01,0a013ff3-1da4-4af6-940a-f62fc2c2e22c,25,গলাচিপা পৌরসভা,Galachipa pourasabha,,,495,0
20,20,2020-06-03 17:33:02,false,2020-06-03 17:33:02,c2f61fc7-f40d-4e22-aa63-28cb242ced67,50,কলাপাড়া পৌরসভা,Kalapara pourasabha,,,29,0
21,21,2020-06-03 17:33:03,false,2020-06-03 17:33:03,9d67d77e-d169-4a20-9d9a-eb2040fc3eae,60,কুয়াকাটা পৌরসভা,Kuakata pourasabha,,,29,0
22,22,2020-06-03 17:33:05,false,2020-06-03 17:33:05,d74b6605-e352-4f70-8f3f-4f35882715c5,75,পুটয়াখালী পৌরসভা,Patuakhali pourasabha,,,31,0
23,23,2020-06-03 17:33:06,false,2020-06-03 17:33:06,c02c1208-e6be-4ee6-a045-e1454c040af0,10,ভাণ্ডারিয়া পৌরসভা,Bhandaria pourasabha,,,33,0
24,24,2020-06-03 17:33:07,false,2020-06-03 17:33:07,878a6428-bb13-4818-b0ee-46445796e472,25,মঠবাড়িয়া পৌরসভা,Mathbaria pourasabha,,,35,0
25,25,2020-06-03 17:33:09,false,2020-06-03 17:33:09,070bd256-767c-4d76-8d85-5589b9727f0e,50,পিরোজপুর পৌরসভা,Pirojpur pourasabha,,,37,0
26,26,2020-06-03 17:33:10,false,2020-06-03 17:33:10,1f570ccb-6102-44cb-9ac2-94e8643ac763,75,স্বরুপকাঠী পৌরসভা,Swarupkathi pourashabha,,,565,0
27,27,2020-06-03 17:33:12,false,2020-06-03 17:33:12,7d1b39ec-b6dd-45d7-a1d8-8580a2f0721c,50,বান্দরবান পৌরসভা,Bandarban pourasabha,,,41,0
28,28,2020-06-03 17:33:13,false,2020-06-03 17:33:13,871a5358-3434-47d7-9c6d-7aac31f7fc9a,62,লামা পৌরসভা,Lama pourasabha,,,42,0
29,29,2020-06-03 17:33:15,false,2020-06-03 17:33:15,13154f42-3ce1-4642-ae6a-445c9dfef9f8,22,আখাউড়া পৌরসভা,Akhaura pourasabha,,,47,0
30,30,2020-06-03 17:33:16,false,2020-06-03 17:33:16,2aab54f0-4105-4e99-a4ec-f11f9d67fc6a,15,বাঞ্ছারামপুর পৌরসভা,Banchharampur pourasabha,,,48,0
31,31,2020-06-03 17:33:18,false,2020-06-03 17:33:18,d69c6750-da8b-48e0-b3de-4fde10322c2e,66,ব্রাহ্মণবাড়িয়া পৌরসভা,Brahmanbaria pourasabha,,,50,0
32,32,2020-06-03 17:33:20,false,2020-06-03 17:33:20,a1072aea-98e9-4166-821e-177c80831cda,76,কসবা পৌরসভা,Kasba pourasabha,,,52,0
33,33,2020-06-03 17:33:22,false,2020-06-03 17:33:22,651ce449-223b-453e-a68d-b40c242bc784,88,নবীনগর পৌরসভা,Nabinagar pourasabha,,,53,0
34,34,2020-06-03 17:33:25,false,2020-06-03 17:33:25,baac8504-5e3d-49d3-a120-8cd9d1d46009,14,চাঁদপুর পৌরসভা,Chandpur pourasabha,,,56,0
35,35,2020-06-03 17:33:27,false,2020-06-03 17:33:27,f953bf78-0099-44cc-81ea-914e71951bc3,35,ফরিদগঞ্জ পৌরসভা,Faridganj pourasabha,,,57,0
36,36,2020-06-03 17:33:28,false,2020-06-03 17:33:28,bbc5d80f-da1d-4bcf-b331-92469ceeabd4,42,হাজীগঞ্জ পৌরসভা,Hajiganj pourasabha,,,59,0
37,37,2020-06-03 17:33:30,false,2020-06-03 17:33:30,93b02b55-dd24-4d45-bb00-ce80cb443afb,57,কচুয়া পৌরসভা,Kachua pourasabha,,,60,0
38,38,2020-06-03 17:33:31,false,2020-06-03 17:33:31,611f62c2-107c-41e9-9e0d-593cb974c1e6,71,মতলব পৌরসভা,Matlab pourasabha,,,61,0
39,39,2020-06-03 17:33:33,false,2020-06-03 17:33:33,1084deb5-18d5-44c4-b1af-20d6fc962289,28,ছেংগারচর পৌরসভা,Chhengarchar pourasabha,,,62,0
40,40,2020-06-03 17:33:34,false,2020-06-03 17:33:34,a4a02d46-acf8-48b2-9a88-ec985592ac39,85,শাহরাস্তি পৌরসভা,Shahrasti pourasabha,,,63,0
41,41,2020-06-03 17:33:36,false,2020-06-03 17:33:36,61e728af-8133-4c56-b560-cd980cfe1bc3,5,বাঁশখালী পৌরসভা,Banshkhali pourasabha,,,65,0
42,42,2020-06-03 17:33:37,false,2020-06-03 17:33:37,8a376dab-c06f-4e70-94de-ebf069685a5b,10,বোয়ালখালী পৌরসভা,Boalkhali pourasabha,,,66,0
43,43,2020-06-03 17:33:39,false,2020-06-03 17:33:39,cafe0218-0dc2-44ee-b9b3-b8d74bd49a82,12,চন্দনাইশ পৌরসভা,Chandanaish pourasabha,,,67,0
44,44,2020-06-03 17:33:40,false,2020-06-03 17:33:40,55ecb535-413b-403c-8446-48493ff5c4ce,22,ফটিকছড়ি পৌরসভা,Fatikchhari pourasabha,,,68,0
45,45,2020-06-03 17:33:41,false,2020-06-03 17:33:41,2e744bb3-461f-4239-9848-bc6f7f5327ba,28,নাজিরহাট পৌরসভা,Najirhat pourasabha,,,68,0
