#,id,created,deleted,last_updated,uuid_str,name_bn,name_en,created_by_id,updated_by_id,division_id,bbs_code,division_bbs_code,weight
1,1,2020-01-28 22:54:29,false,2020-01-28 22:54:29,2efd8058-b2b1-4b56-9cad-fcb4d2ea7bdc,বরগুনা,Barguna,,,1,4,10,0
2,2,2020-01-28 22:54:29,false,2020-06-03 17:32:36,038b9733-2c02-49d4-9d1d-d8f3db49a673,বরিশাল,Barishal,,,1,6,10,0
3,3,2020-01-28 22:54:29,false,2020-01-28 22:54:29,024d8514-17e0-4bd8-a641-8193b470a81b,ভোলা,Bhola,,,1,9,10,0
4,4,2020-01-28 22:54:29,false,2020-01-28 22:54:29,4d05f22c-740e-40a1-b27c-90e360a2bcae,ঝালকাঠি,Jhalokati,,,1,42,10,0
5,5,2020-01-28 22:54:29,false,2020-01-28 22:54:29,cd829383-2ca5-41e1-a9c5-5e5a918da484,পটুয়াখালী,Patuakhali,,,1,78,10,0
6,6,2020-01-28 22:54:29,false,2020-01-28 22:54:29,a5708dcc-c3cc-4296-a351-bf72ce31c5b3,পিরোজপুর,Pirojpur,,,1,79,10,0
7,7,2020-01-28 22:54:29,false,2020-01-28 22:54:29,d4e187cf-f6d7-4ea7-a01b-8f092d6b05bf,বান্দরবান,Bandarban,,,2,3,20,0
8,8,2020-01-28 22:54:29,false,2020-06-03 17:33:14,0093ac94-ed56-4e54-84b1-5c01bb26eaa5,ব্রাহ্মণবাড়িয়া,Brahmanbaria,,,2,12,20,0
9,9,2020-01-28 22:54:29,false,2020-01-28 22:54:29,8d331ddf-721e-4f9d-9f8f-a025300e6a66,চাঁদপুর,Chandpur,,,2,13,20,0
10,10,2020-01-28 22:54:29,false,2020-06-03 17:33:35,94fbd88b-4e35-4f98-845d-397c9b13043e,চট্টগ্রাম,Chattogram,,,2,15,20,0
11,11,2020-01-28 22:54:29,false,2020-06-03 17:33:59,48449293-51fd-4737-86cf-18d5b262a2e1,কুমিল্লা,Cumilla,,,2,19,20,0
